ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
しはらい	しはらい 💳️ 💸
すけじゅーる	すけじゅーる 📅 📆 🗓️
くずかご	くずかご 🗑️ 🗑️ 🚮 🚮
dna	dna 🧬
タキシードの男性	タキシードの男性 🤵‍♂️
あぶく	あぶく 🫧 🫧
ボリビア	ボリビア 🇧🇴
りっぷ	りっぷ 💄
ジャグリング	ジャグリング 🤹 🤹‍♀️ 🤹‍♂️
喫煙	喫煙 🚬
あかいしたさんかく	あかいしたさんかく 🔻
ガーリック	ガーリック 🧄
かふぇいん	かふぇいん ☕️
空手	空手 🥋
国旗（中国）	国旗（中国） 🇨🇳
おやゆびとひとさしゆびをくろす	おやゆびとひとさしゆびをくろす 🫰
側転	側転 🤸 🤸‍♀️ 🤸‍♂️
てをつなぐじょせい	てをつなぐじょせい 👭
まうんてんばいくにのるひと	まうんてんばいくにのるひと 🚵
ぱいろっと	ぱいろっと 👨‍✈️ 🧑‍✈️
きねんび	きねんび 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💏 💑 💕 💝
ぶらじる	ぶらじる 🇧🇷
星座	星座 ♈️ ♉️ ♊️ ♋️ ♌️ ♍️ ♎️ ♏️ ♐️ ♑️ ♒️ ♓️ ⚖️ ⛎️ 🏹 🏺 🐂 🐍 🐏 🐐 🐟️ 🦀 🦁 🦂
かいもの	かいもの 🛒
えすかるご	えすかるご 🐌
保育所	保育所 📛
ウェールズ	ウェールズ 🏴󠁧󠁢󠁷󠁬󠁳󠁿
うけるね	うけるね 😆 😆 🤣 🤣
まつばづえ	まつばづえ 🩼
エストニア	エストニア 🇪🇪
イーグル	イーグル 🦅
万年筆	万年筆 ✒️ 🖋️
ごくひ	ごくひ ㊙️
四つ葉のクローバー	四つ葉のクローバー 🍀
もみじ	もみじ 🍁 🍁
牡羊座	牡羊座 ♈️
レスラー	レスラー 🤼
なきがお	なきがお 😢 😩 🥹
どうけし	どうけし 🤡
げいじゅつか	げいじゅつか 👨‍🎨 👩‍🎨 🧑‍🎨
おどりこ	おどりこ 💃
ぶるねい	ぶるねい 🇧🇳
あふりか	あふりか 🌍️
そり競技	そり競技 🛷
うわむき	うわむき 📈
ポーカーフェイス	ポーカーフェイス 😐️
ボクシンググローブ	ボクシンググローブ 🥊
ゔぃらん	ゔぃらん 🦹 🦹‍♀️ 🦹‍♂️
こすたりか	こすたりか 🇨🇷
こんごきょうわこく(ぶらざびる)	こんごきょうわこく(ぶらざびる) 🇨🇬
ココ	ココ 🈁
コブ	コブ 🐪 🐫
ピザ	ピザ 🍕
墓石	墓石 🪦
にっこりわらうねこ	にっこりわらうねこ 😺
生姜	生姜 🫚
パプリカ	パプリカ 🫑
韓国	韓国 🇰🇷
案内する女	案内する女 💁 💁‍♀️
がっこう、ようちえん、ほいくしょとうあり	がっこう、ようちえん、ほいくしょとうあり 🚸
営マーク	営マーク 🈺
こがたばす	こがたばす 🚐
めきしかん	めきしかん 🌮 🌯 🫔
浮いてるビジネスマン	浮いてるビジネスマン 🕴️
きちょう	きちょう 🧑‍✈️
やきがし	やきがし 🧇
かわぐつ	かわぐつ 👞
せくしー	せくしー 💋 🫦
レンチ	レンチ 🔧 🛠️
しょうかき	しょうかき 🧯
ピン	ピン 📍
くもりいちじはれ	くもりいちじはれ 🌥️
しょしんしゃまーく	しょしんしゃまーく 🔰
ぱいん	ぱいん 🍍
あわぶろ	あわぶろ 🛁
回り矢印１	回り矢印１ ↪️
回り矢印２	回り矢印２ ↩️
結婚式	結婚式 💒
すのーぼーど	すのーぼーど 🏂️
でべろっぱ	でべろっぱ 👨‍💻 👩‍💻
アライグマ	アライグマ 🦝
赤身肉	赤身肉 🥩
そりきょうぎ	そりきょうぎ 🛷
中国	中国 🇨🇳
法輪	法輪 ☸️
青い本	青い本 📘
カット	カット ✂️ 💇 💇‍♂️
ボディビル	ボディビル 💪
歩行者立入禁止	歩行者立入禁止 🚷
しかめ面の人	しかめ面の人 🙍
はてな	はてな ❓️ ❔️
がりべん	がりべん 🤓
てにすぼーる	てにすぼーる 🎾
でんどうくるまいすのだんせい	でんどうくるまいすのだんせい 👨‍🦼 👨‍🦼‍➡️
りとあにあ	りとあにあ 🇱🇹
べるぎー	べるぎー 🇧🇪
クウェート	クウェート 🇰🇼
とびら	とびら 🚪
とおかやのつき	とおかやのつき 🌔
しょうかん	しょうかん 🧙
じじ	じじ 🃏
カップ	カップ ☕️
らっぷとっぷ	らっぷとっぷ 💻️
コピー機	コピー機 🖨️
おしろ	おしろ 🏯 🏰
へんそう	へんそう 🥸
だんせいとじょせいとおんなのことおとこのこのかぞく	だんせいとじょせいとおんなのことおとこのこのかぞく 👨‍👩‍👧‍👦
ほしぞら	ほしぞら 🌃 🌌
ふぁいるきゃびねっと	ふぁいるきゃびねっと 🗄️
すくろーる	すくろーる 📜
まほうのつえ	まほうのつえ 🪄
黄色のハート	黄色のハート 💛
じつ	じつ 🫒
ろぶすたー	ろぶすたー 🦞
しゅーず	しゅーず 👟 🩰
チュー２	チュー２ 😚
スペイン	スペイン 🇪🇸
じょゆう	じょゆう 🎭️
営業中	営業中 🈺
うえむき	うえむき 📈
小麦	小麦 🍞
お知らせ（メガホン）	お知らせ（メガホン） 📢
しかめつらのひと	しかめつらのひと 🙍
かいか	かいか 🌷 🌸 🌼
かいが	かいが 🎨 🖼️
タンブラー	タンブラー 🥃
倍速	倍速 ⏩️ ⏪️
飛ぶ	飛ぶ 🪶 🪽
右に向けた手	右に向けた手 🫱
れすりんぐするおんな	れすりんぐするおんな 🤼‍♀️
7時	7時 🕖️
ぼーとをこぐひと	ぼーとをこぐひと 🚣
シーク教徒	シーク教徒 🪯
裁判	裁判 👨‍⚖️ 👩‍⚖️ 🧑‍⚖️
ひやあせあおざめ	ひやあせあおざめ 😰
バルカンの挨拶	バルカンの挨拶 🖖
ゆにこーん	ゆにこーん 🦄
くうせき	くうせき 🈳
ＳＯＳ	ＳＯＳ 🆘
てんびん	てんびん ⚖️
バレエ	バレエ 🩰
ふぇいすまっさーじちゅうのおんな	ふぇいすまっさーじちゅうのおんな 💆‍♀️
かいと	かいと 🪁
100	100 💯 💯
えいぎょう	えいぎょう 🈺
整備士	整備士 🧑‍🔧 🧰
はーとのえがお	はーとのえがお 🥰
かいわ	かいわ 💬 🗨️
天秤座	天秤座 ♎️ ⚖️
れしーと	れしーと 🧾
宗教	宗教 ☦️ ☪️ ☯️ ☸️ ⛩️ ⛪️ ✝️ ✡️ 📿 🕉️ 🕋 🕌 🕍 🕎 🛐 🛕 🪯
むせきついどうぶつ	むせきついどうぶつ 🪼
かとらりー	かとらりー 🍴 🥄
ショッピング	ショッピング 👜 🛒
割（割引）	割（割引） 🈹
ハンバーガー	ハンバーガー 🍔
こういん	こういん 👨‍🏭 👩‍🏭 🧑‍🏭
空室	空室 🈳
せんさくずき	せんさくずき 🦝
牛乳	牛乳 🥛
右矢印	右矢印 ➡️
すばーるばるしょとう・やんまいえんとう	すばーるばるしょとう・やんまいえんとう 🇸🇯
かいぞく	かいぞく 🏴‍☠️ 🦜
スペード	スペード ♠️
パラシュート	パラシュート 🪂
たきしーどのだんせい	たきしーどのだんせい 🤵‍♂️
dvd	dvd 💿️ 📀
はりうっど	はりうっど 🎥
あかいばら	あかいばら 🌹
落胆	落胆 🫥
踊り子	踊り子 💃
開いたフォルダー	開いたフォルダー 📂
平和のシンボル	平和のシンボル ☮️
じゅうりょうあげをするひと	じゅうりょうあげをするひと 🏋️
ひらく	ひらく 📂
バレー	バレー 🏐
ぱちぱち	ぱちぱち 👏
ハンマー	ハンマー ⚒️ 👷 👷‍♀️ 👷‍♂️ 🔨
りんぐない	りんぐない 🤼 🤼‍♀️ 🤼‍♂️
化け物	化け物 👹
ライフセーバー	ライフセーバー 🛟
まじっく	まじっく 🪄
ローラースケート	ローラースケート 🛼
てんたいかんそく	てんたいかんそく 🔭
まいくろばす	まいくろばす 🚐
無限大	無限大 ♾️
涙ぽろり（ネコ）	涙ぽろり（ネコ） 😿
みゃく	みゃく 🫀
大災害	大災害 🧟
バチカン市国	バチカン市国 🇻🇦
はりけーん	はりけーん 🌀
ひとり	ひとり 👤
花丸	花丸 💮
カブトムシ	カブトムシ 🪲
○	○ ⭕️
撮影	撮影 🎥
ゆのみ	ゆのみ 🍵
あかいんげんまめ	あかいんげんまめ 🫘
開いた	開いた 📬️ 📭️
キャラクター（万歳）	キャラクター（万歳） 🙌
自分撮り	自分撮り 🤳
忍び	忍び 🥷
方位磁針	方位磁針 🧭
遺伝子	遺伝子 🧬
ワイングラス	ワイングラス 🍷
味見	味見 😝
右肩上がり	右肩上がり 📈
９じ	９じ 🕘️
アルゼンチン	アルゼンチン 🇦🇷
だんせいとじょせいとおんなのことおんなのこのかぞく	だんせいとじょせいとおんなのことおんなのこのかぞく 👨‍👩‍👧‍👧
パイ	パイ 🥧
やくそう	やくそう 🌿 🫚
やじるしさゆう	やじるしさゆう ↔️
topやじるし	topやじるし 🔝
ほほをあからめる	ほほをあからめる 😊
のぶた	のぶた 🐗
目がハートの笑顔	目がハートの笑顔 😍
コスメ	コスメ 💄
ぴとけあんしょとう	ぴとけあんしょとう 🇵🇳
出入国審査	出入国審査 🛂
飲み物	飲み物 ☕️ 🍵 🍾 🧃 🧉 🧋 🫖 🫗
左上矢印	左上矢印 ↖️
スパークリングワイン	スパークリングワイン 🍾 🥂
パパ	パパ 👨‍🍼
エレベーター	エレベーター 🛗
びっくりマーク	びっくりマーク ‼️ ⁉️ ❕️ ❗️ ❣️
ワッフル	ワッフル 🧇
先生	先生 👨‍🏫 👩‍🏫 🧑‍🏫
ごきぶり	ごきぶり 🪳
exclamation	exclamation ❗️
でんでんむし	でんでんむし 🐌
バッファロー	バッファロー 🐃 🦬
ヘッドホン	ヘッドホン 🎧️
のうかのだんせい	のうかのだんせい 👨‍🌾
マイホーム	マイホーム 🏠️ 🏡
なんたいどうぶつ	なんたいどうぶつ 🐙 🦑
しんまーく	しんまーく 🈸
ピクニック	ピクニック 🧺
がらす	がらす 🫗
まじゅつし	まじゅつし 🧙 🪄
バスタブ	バスタブ 🛀 🛁
まぐねっと	まぐねっと 🧲
パン	パン 🍞 🥐 🥖 🥨 🥪 🥯 🫓
すぱーくりんぐわいん	すぱーくりんぐわいん 🍾 🥂
8:00	8:00 🕗️ 🕗️
めがほん	めがほん 📢 📣
観測	観測 🔭
ヨーロッパ	ヨーロッパ 🌍️
ひまわり	ひまわり 🌻 🌻
いなずま	いなずま ⚡️ ⚡️ ⛈️ 🌩️
パー	パー ✋️ 🖐️
グー	グー ✊️ 👊
にじぇーる	にじぇーる 🇳🇪
おおわらい	おおわらい 😂
トウモロコシ	トウモロコシ 🌽
おわん帽の人	おわん帽の人 👲
さい	さい 🦏
食べ過ぎ	食べ過ぎ 🫃 🫄
らばし	らばし 🫓
ふっとぼーる	ふっとぼーる 🏈
下着	下着 🩲 🩳
仮装	仮装 🥸
吐きそう	吐きそう 🤢
宝物	宝物 🏴‍☠️
裁判官	裁判官 👨‍⚖️ 👩‍⚖️ 🧑‍⚖️
救命浮環	救命浮環 🛟
失敗	失敗 😣
鉄道	鉄道 🚂 🚃 🚄 🚅 🚈 🛤️
時計（９時）	時計（９時） 🕘️
人工装具	人工装具 🦾 🦿
さんまるたん	さんまるたん 🇲🇫
さけ	さけ 🍶
月２（顔つき）	月２（顔つき） 🌛
はっぱ	はっぱ 🌿 🍁 🍂 🍃
へっどふぉん	へっどふぉん 🎧️
らんぷをこする	らんぷをこする 🧞
ばーすでーけーき	ばーすでーけーき 🎂
ぴあの	ぴあの 🎹
さす	さす 🦟 🪼
送信トレイ	送信トレイ 📤️
もあい	もあい 🗿
ノートパソコン	ノートパソコン 💻️
ふりー	ふりー 🆓
おんなのこ	おんなのこ 👧 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👧 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
金貨	金貨 🪙
さめ	さめ 🦈
にっこう	にっこう ☀️ 🌅
さや	さや 🫛 🫛
うれしい	うれしい 😆
ちゃいろのまる	ちゃいろのまる 🟤
さら	さら 🍽️
ふみつける	ふみつける 🦶
さる	さる 🐒 🐒 🐵 🐵 🙈 🙉 🙊 🦧
さばく	さばく 🌵 🏜️ 🐪 🐫
がそりん	がそりん ⛽️
4時	4時 🕓️
割る	割る ➗️
包帯	包帯 ❤️‍🩹 🤕
リボン	リボン 🎀 🎁 🎗️ 💝
がまぐち	がまぐち 👛
大人一人と子供二人の家族	大人一人と子供二人の家族 🧑‍🧒‍🧒
おてあらい	おてあらい 🚹️ 🚺️ 🚻 🚽 🚾
りっぷすてぃっく	りっぷすてぃっく 💄
つまむ	つまむ 👌 👌
くちびる	くちびる 👄 💋 💋 🫦
歴史的建造物	歴史的建造物 🏛️
でーた	でーた 📈 📉 📊
にっこり	にっこり 😀 😀
ゆびさし	ゆびさし ☝️ 👆️ 👇️ 👈️ 👉️ 🖕 🫵
りらっくす	りらっくす 💆 💆‍♂️ 🧖 🧘
ゆびさす	ゆびさす 👆️ 👇️ 👈️ 👉️
ひたいにて	ひたいにて 🤦 🤦‍♀️ 🤦‍♂️
ほんじゅらす	ほんじゅらす 🇭🇳
空（空室）	空（空室） 🈳
がそりんすたんど	がそりんすたんど ⛽️
でんきこう	でんきこう 👨‍🔧 👩‍🔧
でーと	でーと 💕 😗 😚
ねんぱい	ねんぱい 🦳
クラゲ	クラゲ 🪼
クラブ	クラブ ♣️ 🍸️
ひだりがわ	ひだりがわ 🫲
8:30	8:30 🕣️ 🕣️
ぐあてまら	ぐあてまら 🇬🇹
左向きのこぶし	左向きのこぶし 🤛
しかめ面の女	しかめ面の女 🙍‍♀️
LGBTQ	LGBTQ 🌈 🌈 🏳️‍🌈 🏳️‍🌈
検閲	検閲 🤬
つまみ	つまみ 🎛️ 🎛️
べるぼーいべる	べるぼーいべる 🛎️
的中	的中 🎯
ぷろぐらまー	ぷろぐらまー 👨‍💻 👩‍💻
微笑む	微笑む 🙂
かめらふらっしゅ	かめらふらっしゅ 📸
とべないとり	とべないとり 🦤
ういるす	ういるす 🦟 🦠
むすりむ	むすりむ ☪️
ハグする人	ハグする人 🫂
にやっとわらう	にやっとわらう 😁
つながったクリップ	つながったクリップ 🖇️
きごうのにゅうりょく	きごうのにゅうりょく 🔣
右指差し	右指差し 👉️
ぎんこう	ぎんこう 🏦 🏧 💰️ 💳️
赤インゲン豆	赤インゲン豆 🫘
げんがっき	げんがっき 🪉 🪕
眉を上げた顔	眉を上げた顔 🤨
うけつけ	うけつけ 💁
歌記号	歌記号 〽️
そまりあ	そまりあ 🇸🇴
たつおんな	たつおんな 🧍‍♀️
にくだんご	にくだんご 🧆
しかめ面	しかめ面 ☹️ 😕 😦 😬 🙁
ひづけ	ひづけ 📅 📆 🗓️
しらはた	しらはた 🏳️
ジョッキー	ジョッキー 🏇
おだいりさま	おだいりさま 🎎
賞杯	賞杯 🏆️
ごーる	ごーる 🥅 🥍
麻雀牌	麻雀牌 🀄️
うえかーぶやじるし	うえかーぶやじるし ⤴️
微笑み	微笑み 😊 🙂
クリスマス島	クリスマス島 🇨🇽
じょせいぎじゅつしゃ	じょせいぎじゅつしゃ 👩‍💻
くるり	くるり ➰️
まるいしんかんせん	まるいしんかんせん 🚅
聞こえない	聞こえない 🧏
はれときどきくもり	はれときどきくもり 🌤️
アールブイ車	アールブイ車 🚙
別れた	別れた 💔
ハンドバック	ハンドバック 👜
ハンドバッグ	ハンドバッグ 👜 👝
まーじゃんぱい	まーじゃんぱい 🀄️
くるま	くるま 🏎️ 🚌 🚍️ 🚐 🚑️ 🚒 🚕 🚖 🚗 🚘️ 🚙 🚚 🚛 🚜 🛞 🛻
分かった	分かった 🙋
地下鉄	地下鉄 Ⓜ️ 🚇️
モーリタニア	モーリタニア 🇲🇷
にんぎょう	にんぎょう 🎎 🪅 🪆
ふぁすとふーど	ふぁすとふーど 🍔 🍟
めいそう	めいそう 🧘 🧘‍♀️ 🧘‍♂️
フタコブ	フタコブ 🐫
すまーとふぉん	すまーとふぉん 📱 📲 📳 📴 📶
ほうしゃのう	ほうしゃのう ☢️
交差点	交差点 🚥 🚦
６じ	６じ 🕕️
おんなのぞんび	おんなのぞんび 🧟‍♀️
ドル札	ドル札 💵
たぴおか	たぴおか 🧋
表情（あくび）	表情（あくび） 😪
病気	病気 💉 💊 😵 😷 🤒 🤢 🤮 🦟 🩺
しおり	しおり 🔖 🔖
12時30分	12時30分 🕧️
ろまんす	ろまんす 💒
てじな	てじな 🪄
きょうそうば	きょうそうば 🏇 🐎
閉じた錠	閉じた錠 🔒️
ピンクのハート	ピンクのハート 🩷
あうたー	あうたー 🧥
ぴんくのはーと	ぴんくのはーと 🩷
空席	空席 🈳
べとなむ	べとなむ 🇻🇳
ノコ	ノコ 🪚
顔２（おこったカオ）	顔２（おこったカオ） 😠
ノブ	ノブ 🎛️
う	う 🐰
1時30分	1時30分 🕜️
ロールペーパー	ロールペーパー 🧻
あかちゃん	あかちゃん 🍼 👨‍🍼 👩‍🍼 👶 👶 🚼️ 🤱 🧑‍🍼
え	え 🎨 🖼️
キス	キス 👄 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💋 💏 😗 😘 😙 😚 😽
か	か 🉑 🦟
き	き 🌲 🌳 🌴 🪓 🪵
親機	親機 ☎️
車（セダン）	車（セダン） 🚗
高所作業	高所作業 🪜
しゃりん	しゃりん 🛞
VSマーク	VSマーク 🆚
掃く	掃く 🧹
やしの木	やしの木 🌴
さ	さ 🈂️
スマホ	スマホ 📱 📲 📳 📴 📶 🛜 🤳
し	し ☠️ ⚰️ ⚱️ 💀
おわん帽	おわん帽 👲
す	す 🪹 🪺
おとこのせいれい	おとこのせいれい 🧞‍♂️
男性パイロット	男性パイロット 👨‍✈️
けいたいきんし	けいたいきんし 📵
表情（大泣き）	表情（大泣き） 😭
女性と女性と女の子と男の子の家族	女性と女性と女の子と男の子の家族 👩‍👩‍👧‍👦
ぎゃくまわり	ぎゃくまわり 🔄
押しピン	押しピン 📌 📍
飲み水	飲み水 🚰
む	む 🈚️
め	め 🌱 👀 👁️ 👁️‍🗨️ 👨‍🦯 👨‍🦯‍➡️ 👩‍🦯 👩‍🦯‍➡️ 🧑‍🦯 🧑‍🦯‍➡️ 🪬
ち	ち 🧛
や	や 🏹 💘
5:00	5:00 🕔️ 🕔️
ぱにっく	ぱにっく 🫨
て	て ☝️ ✊️ ✋️ ✌️ ✍️ 👆️ 👇️ 👈️ 👉️ 👊 👋 👌 👍️ 👎️ 👏 👐 🖐️ 🖕 🖖 🙆 🙋 🙌 🙏 🤌 🤏 🤘 🤙 🤚 🤛 🤜 🤝 🤞 🤟 🤲 🦾 🧑‍🤝‍🧑 🧤 🪬 🫰 🫱 🫲 🫳 🫴 🫵 🫶 🫷 🫸
はだし	はだし 👣
ひめくり	ひめくり 📆
中指	中指 🖕
開いた郵便受け	開いた郵便受け 📬️ 📭️
と	と 🚪
ぶるずあい	ぶるずあい 🎯
ねがお	ねがお 😴
小型機	小型機 🛩️
キー	キー 🔐 🔑 🗝️
しかめ顔	しかめ顔 😦 😬 🙍 🙍‍♀️ 🙍‍♂️
ね	ね 🐭
わ	わ ⭕️ 🎋 🎍 🎎
せんきょ	せんきょ 🗳️
は	は ☘️ 🌿 🍀 🍁 🍂 🍃 🦷 🧛 🪒 🪚
げい	げい 🌈 🏳️‍🌈
表情（ほっ）	表情（ほっ） 😌
失望	失望 🙍
ひ	ひ ㊙️ 🔥
デパート	デパート 🏬
けいと	けいと 🧶
シェイブアイス	シェイブアイス 🍧
試合	試合 🥌
棒付きキャンディ	棒付きキャンディ 🍭
つきぎめ	つきぎめ 🈷️
きょうじゅ	きょうじゅ 👨‍🏫 👩‍🏫 🧑‍🏫
ボウルとスプーン	ボウルとスプーン 🥣
ぱれっと	ぱれっと 🎨 👩‍🎨
けいば	けいば 🏇 🐎
み	み 🫒
くっきー	くっきー 🍪
けいび	けいび 💂 💂‍♀️ 💂‍♂️
かくせいき	かくせいき 📢 📣
2人でキス	2人でキス 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💏
血液型A型	血液型A型 🅰️
ぷらかーど	ぷらかーど 🪧
情け	情け 🥺
おらんだ	おらんだ 🇳🇱
ディスカウント	ディスカウント 🈹
おーとばい	おーとばい 🏍️ 🛵
そっくす	そっくす 🧦
約物	約物 ‼️ ✳️ ✴️ ❇️ ❓️ ❔️ ❕️ ❗️ 〰️ 〽️
囲み数字	囲み数字 #️⃣ *️⃣ 0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
サ	サ 🈂️ 🈂️
臭い	臭い 💩
はんどぼーるをするおとこ	はんどぼーるをするおとこ 🤾‍♂️
くちばし	くちばし 🐦‍⬛ 🐦‍⬛
げろ	げろ 🤮 🤮
着信中	着信中 📲
1時	1時 🕐️
そっくり	そっくり 👯 👯
規制	規制 ⛔️ 🚫 🚳 🚷
吹き出し	吹き出し 👁️‍🗨️ 💬 💭 🗨️ 🗯️
アレパ	アレパ 🫓
きゅうしゅう	きゅうしゅう 🧽
みせいねん	みせいねん 🔞
ようき	ようき 🪣 🫙
りずむ	りずむ 🪇 🪘
月（月額）	月（月額） 🈷️
女性と女性と女の子と女の子の家族	女性と女性と女の子と女の子の家族 👩‍👩‍👧‍👧
マイナス	マイナス ➖️
人工衛星	人工衛星 🛰️
・	・ ➗️
ー	ー ➖️ 〰️
ポーランド	ポーランド 🇵🇱
5:30	5:30 🕠️ 🕠️
しょうぼう	しょうぼう 🧯
受信ＢＯＸ	受信ＢＯＸ 📥️
ピッコロ	ピッコロ 🪈
きりり（ネコ）	きりり（ネコ） 😼
太い丸	太い丸 ⭕️
だんせいとだんせいとおんなのことおとこのこのかぞく	だんせいとだんせいとおんなのことおとこのこのかぞく 👨‍👨‍👧‍👦
おおきいおれんじのひしがた	おおきいおれんじのひしがた 🔶
料理（たまご）	料理（たまご） 🍳
お願い	お願い 🙇 🙏 🥺
ごうい	ごうい 🤝
防具	防具 🛡️
結婚	結婚 👰 💒 🤵
夢中	夢中 😶‍🌫️ 🥰
すたー	すたー ✨️ ⭐️ 🌟 🌠 👨‍🎤 👩‍🎤 🧑‍🎤
しょうかきぐ	しょうかきぐ 🧯
まくのうち	まくのうち 🍱
だんせいとおとこのこのかぞく	だんせいとおとこのこのかぞく 👨‍👦
セルフィー	セルフィー 🤳
スケルトン	スケルトン 🛷
エイトボール	エイトボール 🎱
月マーク	月マーク 🈷️
ロックオン	ロックオン 🤘
火事	火事 🧯
パトロール	パトロール 🚓
セントルシア	セントルシア 🇱🇨
じょしといれ	じょしといれ 🚺️
7じはん	7じはん 🕢️
化学療法	化学療法 🦲
輝度	輝度 🔅 🔆
家具	家具 🪑
六芒星	六芒星 ✡️ 🔯
気温	気温 🌡️
U字型磁石	U字型磁石 🧲
きんえん	きんえん 🚭️
宅配便	宅配便 📦️
ハード島・マクドナルド諸島	ハード島・マクドナルド諸島 🇭🇲
太鼓	太鼓 🥁 🪘
おれんじのまる	おれんじのまる 🟠
解錠	解錠 🔓️
考え中	考え中 🤔
フォンデュ	フォンデュ 🫕
ばれえしゅーず	ばれえしゅーず 🥿 🩰
踏みつける	踏みつける 🦶
すぱーくる	すぱーくる ❇️
かふぇ	かふぇ ☕️
ふっく	ふっく 🪝
紙袋	紙袋 🛍️
あおりんご	あおりんご 🍏
化粧品	化粧品 💄
コロッケ	コロッケ 🧆
しょっぱい	しょっぱい 🧂 🧂
揺れるハート	揺れるハート 💓
女性のサンタ	女性のサンタ 🤶
活動的	活動的 🤸
はいうぇい	はいうぇい 🛣️
さいばん	さいばん 👨‍⚖️ 👩‍⚖️ 🧑‍⚖️
だんせいしょうぼうし	だんせいしょうぼうし 👨‍🚒
どくろとほね	どくろとほね ☠️
３じ	３じ 🕒️
考え事	考え事 💭
右矢印１	右矢印１ ➡️
右矢印２	右矢印２ ↗️
ぎにあびさう	ぎにあびさう 🇬🇼
おやすみ	おやすみ 💤 💤 😴 😴 🛌 🛌 🥱 🥱
おんなのまほうつかい	おんなのまほうつかい 🧙‍♀️
はしるおんな	はしるおんな 🏃‍♀️ 🏃‍♀️‍➡️
スピーカー音量大	スピーカー音量大 🔊
8じ	8じ 🕗️
しずかに	しずかに 🤫 🫢
ぽーらんど	ぽーらんど 🇵🇱
むげんだい	むげんだい ♾️
リボルバー	リボルバー 🔫
丸いMマーク	丸いMマーク Ⓜ️
しぇふ	しぇふ 👨‍🍳 👩‍🍳 🧑‍🍳
ぴすとる	ぴすとる 🔫
クロアチア	クロアチア 🇭🇷
とじたじょう	とじたじょう 🔒️
オフ	オフ 📴
スパイダー	スパイダー 🕷️ 🕸️
ラテン十字	ラテン十字 ✝️
こうふん	こうふん 🤸 🤸‍♀️ 🤸‍♂️
まにあ	まにあ 🤓
やくしゃ	やくしゃ 🎭️
したゆびさし	したゆびさし 👇️
はんまーとつるはし	はんまーとつるはし ⚒️
１２じ	１２じ 🕛️
ふれーむ	ふれーむ 🎞️ 🪟
かがくしゃ	かがくしゃ 👨‍🔬 👩‍🔬 🥼 🧑‍🔬 🧪
ゴール	ゴール 🥅 🥍
まゆをあげたかお	まゆをあげたかお 🤨
逃げる	逃げる 💨
そうしん	そうしん 📤️ 📩
エスカルゴ	エスカルゴ 🐌
バスケットボール選手	バスケットボール選手 ⛹️
オン	オン 🔛
2:00	2:00 🕑️ 🕑️
くちがななめのかお	くちがななめのかお 🫤
だめのぽーずをするひと	だめのぽーずをするひと 🙅
パソコン	パソコン ⌨️ 👨‍💻 👩‍💻 💻️ 🖥️ 🖱️ 🖲️ 🧑‍💻
オートバイ	オートバイ 🏍️ 🛵
マンモス	マンモス 🦣
サラダ	サラダ 🥗 🥬
きいろいはーと	きいろいはーと 💛
食べ物	食べ物 🥭 🫐 🫑 🫒 🫓 🫔 🫕 🫘
とるこ	とるこ 🇹🇷
じゃーじー	じゃーじー 🇯🇪
キノコ	キノコ 🍄 🍄‍🟫
こんごみんしゅきょうわこく(きんしゃさ)	こんごみんしゅきょうわこく(きんしゃさ) 🇨🇩
団扇	団扇 🪭
くう	くう 🈳
1にん	1にん 👤
れすりんぐたいかい	れすりんぐたいかい 🤼 🤼‍♀️ 🤼‍♂️
くれじっとかーど	くれじっとかーど 💳️
ぎゅうにゅういりのこっぷ	ぎゅうにゅういりのこっぷ 🥛
ぽるとがる	ぽるとがる 🇵🇹
はんまー	はんまー ⚒️ 👷 👷‍♀️ 👷‍♂️ 🔨
しまい	しまい 👭
したかーぶやじるし	したかーぶやじるし ⤵️
ピエロの顔	ピエロの顔 🤡
ブラシ	ブラシ 🪥
くさ	くさ ☘️ 🌾 🌿 🍀
くし	くし 🍡 🍢 🪮 🪮
くじ	くじ 🕘️
枯れ葉	枯れ葉 🍂
動悸	動悸 💓
1曲リピートボタン	1曲リピートボタン 🔂
じゃけっと	じゃけっと 🧥
射手	射手 🏹
おじぎするおんな	おじぎするおんな 🙇‍♀️
くも	くも ☁️ ⛅️ ⛈️ 🌤️ 🌥️ 🌦️ 🌧️ 🌨️ 🌩️ 🌫️ 🌬️ 💭 🕷️ 🕸️
くち	くち 👄 🤐 🫦
こんごきょうわこく	こんごきょうわこく 🇨🇬
